,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,FIVN11,Shoppings,"R$ 2,31",14779.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.746.443,59","R$ 6,98","0,33",N/A,N/A,N/A,N/A,"56,00%",N/A,1
1,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89","1,35",N/A,N/A,N/A,N/A,N/A,N/A,0
2,XTED11,Lajes Corporativas,"R$ 6,18",1331.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.391.929,40","R$ 13,94","0,44",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
3,ALMI11,Lajes Corporativas,"R$ 1.017,00",96.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.487.663,18","R$ 2.253,05","0,45",N/A,N/A,N/A,N/A,"64,05%",N/A,1
4,PABY11,Híbrido,"R$ 8,35",401.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.707.885,16","R$ -11,48","-0,73",N/A,N/A,N/A,N/A,N/A,N/A,1
5,ORPD11,Títulos e Val. Mob.,"R$ 128,79",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.135.940,94","R$ 152,19","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
6,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 257.842.245,51","R$ 151,67","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
7,PVBI11,Lajes Corporativas,"R$ 87,46",12886.0,"R$ 0,56","0,63%","1,87%","3,80%","7,21%","0,62%","0,63%","0,60%","0,63%","0,00%","0,63%","0,63%","R$ 996.715.875,77","R$ 99,28","0,88","0,56%","0,00%","0,56%","0,56%","0,10%",N/A,4
8,LVBI11,Logística,"R$ 98,56",25138.0,"R$ 0,71","0,72%","2,11%","4,24%","7,49%","0,70%","0,71%","0,62%","0,72%","0,00%","0,72%","0,72%","R$ 1.351.511.613,64","R$ 114,78","0,86","0,62%","0,00%","0,62%","0,62%","0,50%","0,00%",10
9,RBED11,Outros,"R$ 120,14",1137.0,"R$ 1,12","0,92%","2,68%","5,14%","9,46%","0,89%","0,86%","0,79%","1,85%","1,67%","2,60%","3,56%","R$ 286.192.341,31","R$ 141,57","0,85","0,79%","0,04%","0,83%","1,63%","0,00%",N/A,5
10,KNSC11,Títulos e Val. Mob.,"R$ 94,59",28449.0,"R$ 1,00","1,05%","3,74%","7,74%","13,52%","1,25%","1,29%","1,13%","2,31%","-4,19%","-3,19%","-1,97%","R$ 703.260.649,36","R$ 88,61","1,07","1,13%","-0,76%","0,36%","1,77%",N/A,N/A,0
11,JGPX11,Híbrido,"R$ 97,00",2871.0,"R$ 1,07","1,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,18%","0,43%","1,54%","2,64%","R$ 80.715.047,82","R$ 95,17","1,02","1,12%","0,13%","1,25%","2,37%",N/A,N/A,0
12,KINP11,Residencial,"R$ 12,90",1688.0,"R$ 0,28","2,08%","5,93%","0,00%","0,00%","1,98%","0,00%","0,00%","4,58%","-3,93%","-1,93%","0,52%","R$ 50.442.483,46","R$ 7,06","1,83","3,96%","-1,31%","2,61%","7,63%",N/A,N/A,0
13,HGRU11,Híbrido,"R$ 108,99",20450.0,"R$ 0,76","0,67%","1,98%","3,93%","7,60%","0,66%","0,65%","0,63%","1,34%","-1,74%","-1,08%","-0,43%","R$ 2.183.937.740,13","R$ 118,65","0,92","0,64%","-0,08%","0,56%","1,21%","0,00%","0,00%",16
14,HGRE11,Lajes Corporativas,"R$ 120,66",13253.0,"R$ 0,69","0,53%","3,07%","4,72%","8,28%","1,02%","0,79%","0,69%","1,05%","-1,68%","-1,15%","-0,64%","R$ 1.950.300.222,04","R$ 165,03","0,73","0,42%","0,00%","0,42%","0,42%","26,48%","29,71%",21
15,HGLG11,Logística,"R$ 160,88",26661.0,"R$ 1,10","0,66%","2,33%","4,34%","8,46%","0,78%","0,72%","0,70%","1,31%","-1,85%","-1,20%","-0,56%","R$ 3.139.602.936,75","R$ 147,31","1,09","0,75%","0,00%","0,75%","0,75%","6,70%","6,40%",17
16,CBOP11,Lajes Corporativas,"R$ 59,19",93.0,"R$ 0,49","0,81%","5,61%","7,95%","11,96%","1,87%","1,32%","1,00%","1,48%","-16,89%","-16,21%","-15,65%","R$ 127.864.976,18","R$ 90,36","0,66","0,54%","-0,16%","0,38%","0,92%","33,59%","33,47%",1
17,KNRI11,Híbrido,"R$ 130,00",23206.0,"R$ 0,81","0,61%","1,84%","3,54%","6,43%","0,61%","0,59%","0,54%","1,22%","0,32%","0,93%","1,55%","R$ 3.797.233.579,76","R$ 157,19","0,83","0,52%","-0,25%","0,27%","0,78%","2,07%","6,80%",20
18,WPLZ11,Shoppings,"R$ 75,15",773.0,"R$ 0,30","0,42%","1,29%","2,38%","0,00%","0,43%","0,40%","0,00%","0,77%","-0,53%","-0,11%","0,24%","R$ 104.886.627,48","R$ 102,75","0,73","0,29%","0,08%","0,37%","0,62%","11,20%",N/A,1
19,ARRI11,Títulos e Val. Mob.,"R$ 97,64",4264.0,"R$ 1,30","1,29%","4,38%","8,54%","15,11%","1,46%","1,42%","1,26%","2,60%","-0,10%","1,19%","2,51%","R$ 96.611.486,40","R$ 92,16","1,06","1,41%","-0,32%","1,09%","2,52%",N/A,N/A,0
20,BPFF11,Títulos e Val. Mob.,"R$ 63,82",6074.0,"R$ 0,60","0,92%","2,63%","5,31%","9,71%","0,88%","0,89%","0,81%","1,80%","-5,37%","-4,50%","-3,66%","R$ 350.027.870,92","R$ 77,92","0,82","0,77%","-1,56%","-0,80%","-0,05%",N/A,N/A,0
21,HPDP11,Shoppings,"R$ 84,11",13.0,"R$ 0,45","0,53%","1,70%","3,12%","4,49%","0,57%","0,52%","0,37%","1,07%","1,81%","2,35%","2,90%","R$ 275.687.139,43","R$ 94,78","0,89","0,47%","0,00%","0,47%","0,95%","1,50%",N/A,1
22,PLCR11,Híbrido,"R$ 86,30",5113.0,"R$ 1,00","1,17%","3,48%","6,81%","12,16%","1,16%","1,14%","1,01%","2,35%","-3,04%","-1,91%","-0,75%","R$ 193.164.792,78","R$ 91,58","0,94","1,15%","0,00%","1,15%","1,15%",N/A,N/A,0
23,HGBS11,Shoppings,"R$ 161,51",18411.0,"R$ 1,15","0,69%","1,95%","3,58%","5,12%","0,65%","0,60%","0,43%","1,37%","0,35%","1,04%","1,74%","R$ 2.162.578.417,80","R$ 216,26","0,75","0,53%","0,53%","1,06%","1,60%","6,40%",N/A,17
24,MALL11,Shoppings,"R$ 99,50",17117.0,"R$ 0,72","0,73%","2,15%","4,15%","7,11%","0,72%","0,69%","0,59%","1,47%","2,48%","3,23%","4,00%","R$ 826.318.263,29","R$ 109,30","0,91","0,66%","0,00%","0,66%","0,66%","4,00%",N/A,8
25,HGIC11,Títulos e Val. Mob.,"R$ 109,00",4069.0,"R$ 1,20","1,05%","3,05%","5,86%","9,48%","1,02%","0,98%","0,79%","1,98%","7,01%","8,14%","9,14%","R$ 30.429.349,52","R$ 109,48","1,00","1,10%","1,35%","2,46%","3,40%",N/A,N/A,0
26,HOSI11,Híbrido,"R$ 71,36",48.0,"R$ 0,36","0,49%","1,75%","3,71%","7,59%","0,58%","0,62%","0,63%","1,00%","0,68%","1,18%","1,69%","R$ 53.326.274,73","R$ 92,99","0,77","0,39%","0,31%","0,70%","1,10%",N/A,N/A,2
27,HCHG11,Outros,"R$ 87,51",152.0,"R$ 0,80","0,91%","2,72%","5,04%","0,00%","0,91%","0,84%","0,00%","1,81%","-0,11%","0,79%","1,70%","R$ 117.982.259,71","R$ 98,32","0,89","0,81%","0,88%","1,70%","2,53%",N/A,N/A,0
28,HABT11,Títulos e Val. Mob.,"R$ 104,20",16746.0,"R$ 1,30","1,21%","3,46%","7,40%","15,58%","1,15%","1,23%","1,30%","2,28%","-3,28%","-2,12%","-1,06%","R$ 726.473.936,75","R$ 97,87","1,06","1,33%","-0,09%","1,23%","2,47%",N/A,N/A,0
29,FIGS11,Shoppings,"R$ 52,00",1345.0,"R$ 0,37","0,69%","2,00%","3,73%","5,70%","0,67%","0,62%","0,47%","1,36%","-2,37%","-1,69%","-1,03%","R$ 283.551.127,39","R$ 99,49","0,52","0,37%","-0,14%","0,23%","0,60%","12,70%",N/A,2
30,CXCO11,Lajes Corporativas,"R$ 76,77",2908.0,"R$ 0,65","0,86%","2,47%","4,82%","0,00%","0,82%","0,80%","0,00%","1,66%","-6,33%","-5,52%","-4,76%","R$ 377.077.381,92","R$ 96,08","0,80","0,68%","-0,09%","0,59%","1,28%",N/A,N/A,0
31,XPLG11,Logística,"R$ 100,90",77423.0,"R$ 0,66","0,72%","1,99%","3,95%","7,25%","0,66%","0,66%","0,60%","1,37%","-6,51%","-5,84%","-5,23%","R$ 3.021.986.048,41","R$ 111,51","0,90","0,59%","1,49%","2,09%","2,69%","9,00%","1,20%",13
32,HSML11,Shoppings,"R$ 72,50",32943.0,"R$ 0,60","0,78%","2,14%","4,20%","6,66%","0,71%","0,70%","0,55%","1,50%","1,05%","1,84%","2,57%","R$ 1.500.339.670,51","R$ 95,07","0,76","0,63%","0,00%","0,63%","1,21%","4,00%",N/A,5
33,URPR11,Outros,"R$ 116,17",36747.0,"R$ 1,64","1,40%","4,20%","8,90%","18,35%","1,40%","1,48%","1,53%","2,75%","-2,66%","-1,30%","0,04%","R$ 536.567.615,76","R$ 97,23","1,19","1,68%","1,62%","3,33%","5,09%",N/A,N/A,0
34,VRTA11,Títulos e Val. Mob.,"R$ 102,10",28177.0,"R$ 1,25","1,19%","3,51%","6,86%","12,17%","1,17%","1,14%","1,01%","2,37%","-0,14%","1,05%","2,24%","R$ 1.151.185.626,62","R$ 95,91","1,06","1,30%","-0,20%","1,10%","2,40%",N/A,N/A,0
35,RNGO11,Lajes Corporativas,"R$ 46,00",2414.0,"R$ 0,35","0,73%","2,08%","3,97%","7,54%","0,69%","0,66%","0,63%","1,42%","-6,57%","-5,88%","-5,24%","R$ 234.056.319,19","R$ 87,46","0,53","0,40%","-0,03%","0,37%","0,78%","24,00%",N/A,3
36,TGAR11,Outros,"R$ 110,39",29768.0,"R$ 1,22","1,09%","3,05%","5,94%","11,14%","1,02%","0,99%","0,93%","2,03%","-8,72%","-7,73%","-6,86%","R$ 1.483.080.875,79","R$ 131,14","0,84","0,93%","-0,41%","0,52%","1,41%",N/A,N/A,0
37,FVPQ11,Shoppings,"R$ 116,00",709.0,"R$ 0,72","0,60%","2,30%","3,57%","6,51%","0,77%","0,59%","0,54%","1,62%","18,92%","19,63%","20,85%","R$ 555.145.637,12","R$ 198,26","0,59","0,36%","0,05%","0,41%","0,94%","5,50%",N/A,1
38,RZTR11,Híbrido,"R$ 101,25",51649.0,"R$ 1,25","1,23%","3,66%","6,89%","11,46%","1,22%","1,15%","0,95%","2,43%","-2,41%","-1,21%","-0,02%","R$ 1.096.079.994,79","R$ 99,21","1,02","1,26%","-0,84%","0,41%","1,67%",N/A,N/A,10
39,SDIL11,Logística,"R$ 85,15",25692.0,"R$ 0,76","0,84%","2,56%","5,15%","8,94%","0,85%","0,86%","0,75%","1,72%","4,05%","4,92%","5,85%","R$ 623.706.754,09","R$ 97,53","0,87","0,78%","0,03%","0,81%","1,60%","2,60%",N/A,5
40,NVHO11,Hospital,"R$ 12,00",86.0,"R$ 0,08","0,67%","1,52%","3,41%","6,49%","0,51%","0,57%","0,54%","0,87%","-2,86%","-2,21%","-2,01%","R$ 527.093.490,84","R$ 12,70","0,94","0,61%","0,04%","0,64%","0,84%",N/A,N/A,1
41,RZAG11,Títulos e Val. Mob.,"R$ 9,97",78623.0,"R$ 0,11","1,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,22%","1,83%","2,95%","4,10%","R$ 289.373.158,29","R$ 9,54","1,05","1,15%","-0,05%","1,11%","2,27%",N/A,N/A,0
42,LASC11,Shoppings,"R$ 89,40",1.0,"R$ 0,73","0,82%","1,87%","3,53%","6,16%","0,62%","0,59%","0,51%","1,22%","-1,19%","-0,38%","0,02%","R$ 283.304.571,65","R$ 112,50","0,79","0,32%","0,00%","0,32%","0,32%","3,10%",N/A,3
43,NSLU11,Hospital,"R$ 145,49",4653.0,"R$ 1,54","0,76%","2,26%","4,94%","9,49%","0,75%","0,82%","0,79%","0,76%","0,00%","0,76%","0,76%","R$ 222.505.047,87","R$ 194,36","0,75","0,70%","0,00%","0,70%","0,70%","0,00%",N/A,1
44,EVBI11,Híbrido,"R$ 92,00",31.0,"R$ 0,75","0,81%","2,60%","4,56%","8,27%","0,87%","0,76%","0,69%","0,81%","0,00%","0,81%","0,81%","R$ 139.438.160,75","R$ 99,76","0,92",N/A,N/A,N/A,N/A,"0,00%",N/A,2
45,PQDP11,Shoppings,"R$ 2.020,00",26.0,"R$ 17,51","0,86%","2,05%","4,22%","5,94%","0,68%","0,70%","0,49%","0,86%","0,00%","0,86%","0,86%","R$ 800.978.410,08","R$ 3.358,72","0,60","0,52%","0,00%","0,52%","0,52%","3,60%",N/A,1
46,FIIB11,Híbrido,"R$ 439,90",541.0,"R$ 3,20","0,69%","2,18%","4,38%","8,41%","0,73%","0,73%","0,70%","0,69%","0,00%","0,69%","0,69%","R$ 312.813.785,09","R$ 456,66","0,96",N/A,N/A,N/A,N/A,"6,28%",N/A,1
47,CACR11,Híbrido,"R$ 108,00",3277.0,"R$ 1,50","1,38%","4,20%","8,04%","14,28%","1,40%","1,34%","1,19%","2,77%","1,48%","2,88%","4,31%","R$ 154.006.050,98","R$ 101,71","1,06","1,47%","0,01%","1,49%","2,98%",N/A,N/A,0
48,BBFI11B,Lajes Corporativas,"R$ 1.993,10",229.0,"R$ 22,81","1,07%","3,78%","7,40%","13,83%","1,26%","1,23%","1,15%","2,12%","-6,35%","-5,35%","-4,35%","R$ 370.283.007,23","R$ 2.848,33","0,70","0,84%","0,00%","0,84%","0,84%","40,00%",N/A,2
49,VIUR11,Títulos e Val. Mob.,"R$ 72,14",8098.0,"R$ 0,70","0,95%","2,78%","5,31%","0,00%","0,93%","0,89%","0,00%","1,87%","-2,84%","-1,92%","-1,02%","R$ 259.739.532,45","R$ 96,39","0,75","0,73%","-0,22%","0,51%","1,24%","0,00%",N/A,6
50,VINO11,Lajes Corporativas,"R$ 47,21",30304.0,"R$ 0,34","0,72%","2,26%","5,21%","9,93%","0,75%","0,87%","0,83%","1,38%","-8,64%","-7,98%","-7,37%","R$ 913.114.249,27","R$ 55,12","0,86","0,62%","-0,52%","0,09%","0,70%","4,20%",N/A,9
51,VILG11,Logística,"R$ 99,37",22695.0,"R$ 0,70","0,68%","2,03%","3,99%","6,96%","0,68%","0,67%","0,58%","1,37%","-0,05%","0,63%","1,32%","R$ 1.707.690.790,18","R$ 113,87","0,87","0,61%","-0,06%","0,56%","1,18%","0,00%",N/A,16
52,VIFI11,Títulos e Val. Mob.,"R$ 76,99",12947.0,"R$ 0,66","0,82%","2,53%","5,06%","9,36%","0,84%","0,84%","0,78%","1,66%","3,28%","4,13%","5,01%","R$ 246.942.464,94","R$ 87,81","0,88","0,75%","-2,43%","-1,70%","-0,98%",N/A,N/A,0
53,CXCE11B,Outros,"R$ 39,99",561.0,"R$ 0,37","0,92%","2,55%","5,50%","12,54%","0,85%","0,92%","1,05%","1,73%","-11,47%","-10,66%","-9,93%","R$ 110.953.528,47","R$ 64,77","0,62","0,57%","-0,05%","0,52%","1,09%","0,00%",N/A,1
54,HSLG11,Logística,"R$ 87,38",13833.0,"R$ 0,63","0,70%","2,00%","4,07%","7,43%","0,67%","0,68%","0,62%","1,40%","0,28%","0,98%","1,69%","R$ 1.404.973.822,84","R$ 110,98","0,79","0,57%","-0,07%","0,50%","1,07%","1,10%",N/A,5
55,LUGG11,Residencial,"R$ 81,15",200.0,"R$ 0,54","0,64%","1,90%","3,60%","6,90%","0,63%","0,60%","0,57%","1,25%","-2,09%","-1,46%","-0,86%","R$ 112.533.541,54","R$ 125,04","0,65","0,43%","0,10%","0,53%","0,96%","2,40%",N/A,4
56,BBPO11,Lajes Corporativas,"R$ 87,50",18288.0,"R$ 0,89","0,98%","2,88%","5,68%","11,07%","0,96%","0,95%","0,92%","1,93%","-3,36%","-2,41%","-1,48%","R$ 1.525.946.877,89","R$ 95,85","0,91","0,93%","0,02%","0,95%","1,89%","0,00%","0,00%",64
57,KISU11,Títulos e Val. Mob.,"R$ 7,51",80849.0,"R$ 0,07","0,85%","2,51%","4,83%","8,53%","0,84%","0,80%","0,71%","1,65%","-6,14%","-5,34%","-4,59%","R$ 395.865.957,96","R$ 8,96","0,84","0,73%","-4,07%","-3,38%","-3,38%",N/A,N/A,0
58,ITIT11,Títulos e Val. Mob.,"R$ 70,80",620.0,"R$ 0,55","0,79%","2,27%","4,29%","0,00%","0,76%","0,72%","0,00%","1,52%","-3,20%","-2,43%","-1,72%","R$ 70.730.741,03","R$ 78,55","0,90","0,70%","-2,35%","-1,67%","-1,02%",N/A,N/A,0
59,RBFF11,Títulos e Val. Mob.,"R$ 50,98",4200.0,"R$ 0,47","0,94%","2,61%","5,14%","9,57%","0,87%","0,86%","0,80%","1,78%","-9,39%","-8,54%","-7,76%","R$ 240.788.827,03","R$ 64,22","0,79","0,73%","-1,68%","-0,96%","-0,25%",N/A,N/A,0
60,QIRI11,Títulos e Val. Mob.,"R$ 73,87",9.0,"R$ 0,66","0,79%","2,29%","4,15%","7,93%","0,76%","0,69%","0,66%","1,55%","-6,67%","-5,93%","-5,21%","R$ 13.020.889,64","R$ 86,81","0,85","0,76%","-1,36%","-0,61%","0,17%",N/A,N/A,0
61,VTLT11,Logística,"R$ 93,45",2108.0,"R$ 0,83","0,91%","2,59%","4,96%","9,20%","0,86%","0,83%","0,77%","1,81%","-0,37%","0,53%","1,44%","R$ 218.534.632,60","R$ 103,33","0,90","0,80%","0,05%","0,85%","1,66%","0,00%","0,00%",1
62,VLOL11,Lajes Corporativas,"R$ 94,60",982.0,"R$ 0,53","0,56%","1,66%","3,16%","5,79%","0,55%","0,53%","0,48%","1,10%","1,96%","2,52%","3,08%","R$ 184.741.086,79","R$ 103,51","0,91","0,51%","0,06%","0,57%","1,07%","0,00%",N/A,1
63,BCIA11,Títulos e Val. Mob.,"R$ 81,94",4103.0,"R$ 0,68","0,81%","2,29%","4,60%","8,56%","0,76%","0,77%","0,71%","1,55%","-2,74%","-1,95%","-1,23%","R$ 381.817.732,89","R$ 102,67","0,80","0,66%","-1,53%","-0,88%","-0,27%",N/A,N/A,0
64,YUFI11B,Residencial,N/A,N/A,"R$ 0,84","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 41.354.358,01","R$ 104,65",N/A,"0,80%","0,20%","1,00%","1,52%",N/A,N/A,0
65,RNDP11,Títulos e Val. Mob.,"R$ 590,00",5.0,"R$ 3,29","0,53%","1,83%","3,53%","7,22%","0,61%","0,59%","0,60%","1,20%","2,52%","3,07%","3,76%","R$ 72.379.940,34","R$ 673,42","0,88","0,49%","0,12%","0,61%","1,20%",N/A,N/A,0
66,BTWR11,Lajes Corporativas,"R$ 108,00",1.0,"R$ 0,30","0,28%","0,28%","0,28%","0,00%","0,09%","0,05%","0,00%","0,28%","0,00%","0,28%","0,28%","R$ 87.869.004,84","R$ 108,58","0,99","0,28%","0,02%","0,30%","0,53%","12,00%",N/A,1
67,TRXF11,Outros,"R$ 99,06",12794.0,"R$ 0,80","0,79%","2,47%","4,77%","8,78%","0,82%","0,80%","0,73%","1,58%","-0,55%","0,24%","1,03%","R$ 728.035.210,89","R$ 100,49","0,99","0,80%","-0,34%","0,46%","1,26%","0,00%",N/A,44
68,APTO11,Híbrido,"R$ 10,80",344.0,"R$ 0,10","0,98%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,87%","0,89%","1,88%","2,79%","R$ 39.162.601,54","R$ 9,76","1,11","1,02%","-0,79%","0,22%","0,22%",N/A,N/A,0
69,HSAF11,Títulos e Val. Mob.,"R$ 95,75",6012.0,"R$ 1,15","1,20%","3,41%","6,85%","12,85%","1,14%","1,14%","1,07%","2,36%","1,31%","2,52%","3,71%","R$ 168.086.377,04","R$ 94,77","1,01","1,21%","-0,80%","0,40%","1,56%",N/A,N/A,0
70,RBHG11,Títulos e Val. Mob.,"R$ 87,70",6191.0,"R$ 1,10","1,26%","4,01%","7,68%","12,52%","1,34%","1,28%","1,04%","2,33%","-2,23%","-0,99%","0,07%","R$ 167.602.388,18","R$ 97,02","0,90","1,13%","0,65%","1,79%","2,79%",N/A,N/A,0
71,EURO11,Logística,"R$ 209,99",701.0,"R$ 1,78","0,87%","2,56%","4,87%","8,92%","0,85%","0,81%","0,74%","1,73%","1,49%","2,37%","3,25%","R$ 119.908.139,20","R$ 312,31","0,67","0,57%","0,03%","0,60%","1,16%","0,00%",N/A,6
72,BBIM11,Títulos e Val. Mob.,N/A,N/A,"R$ 0,32","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 48.810.423,80","R$ 47,16",N/A,"0,68%","-0,23%","0,45%","1,08%",N/A,N/A,0
73,NVIF11B,Outros,N/A,N/A,"R$ 0,44","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 86.231.672,67","R$ 255,58",N/A,"0,23%","0,00%","0,23%","0,23%",N/A,N/A,0
74,MFII11,Híbrido,"R$ 103,44",3441.0,"R$ 1,17","1,10%","3,28%","6,59%","11,84%","1,09%","1,10%","0,99%","2,17%","-3,56%","-2,50%","-1,46%","R$ 463.373.976,33","R$ 111,74","0,93","1,05%","-1,70%","-0,67%","0,36%",N/A,N/A,9
75,RMAI11,Lajes Corporativas,"R$ 33,85",4901.0,"R$ 0,26","0,66%","1,74%","1,74%","1,74%","0,58%","0,29%","0,14%","1,74%","-1,75%","-1,10%","-0,04%","R$ 264.341.611,33","R$ 108,17","0,31",N/A,N/A,N/A,N/A,"23,44%",N/A,1
76,VVPR11,Híbrido,"R$ 94,65",2175.0,"R$ 0,79","0,85%","2,31%","4,59%","8,75%","0,77%","0,76%","0,73%","0,85%","0,00%","0,85%","0,85%","R$ 238.397.630,97","R$ 103,39","0,92","0,76%","0,00%","0,76%","0,76%","0,00%",N/A,6
77,VCJR11,Títulos e Val. Mob.,"R$ 95,55",17768.0,"R$ 1,08","1,10%","3,95%","7,97%","12,87%","1,32%","1,33%","1,07%","2,38%","-0,10%","1,00%","2,29%","R$ 1.260.864.667,15","R$ 94,34","1,01","1,14%","-0,02%","1,13%","2,47%",N/A,N/A,0
78,KNHY11,Títulos e Val. Mob.,"R$ 102,15",73487.0,"R$ 1,10","1,06%","3,64%","7,36%","13,66%","1,21%","1,23%","1,14%","2,27%","-2,54%","-1,51%","-0,31%","R$ 1.401.671.825,38","R$ 98,08","1,04","1,12%","-0,48%","0,64%","1,97%",N/A,N/A,0
79,KNIP11,Títulos e Val. Mob.,"R$ 98,60",172668.0,"R$ 1,08","1,05%","3,79%","7,77%","13,71%","1,26%","1,30%","1,14%","2,36%","-1,54%","-0,50%","0,80%","R$ 6.888.025.595,56","R$ 96,83","1,02","1,12%","-0,86%","0,25%","1,64%",N/A,N/A,0
80,KNCR11,Títulos e Val. Mob.,"R$ 99,66",85611.0,"R$ 0,83","0,83%","2,46%","4,25%","6,76%","0,82%","0,71%","0,56%","1,65%","0,09%","0,92%","1,75%","R$ 3.945.434.547,87","R$ 100,91","0,99","0,82%","-0,05%","0,77%","1,59%",N/A,N/A,0
81,VGHF11,Títulos e Val. Mob.,"R$ 9,97",503450.0,"R$ 0,16","1,55%","4,91%","9,21%","0,00%","1,64%","1,53%","0,00%","3,11%","0,00%","1,55%","3,13%","R$ 313.403.576,25","R$ 9,39","1,06","1,70%","0,00%","1,70%","1,70%",N/A,N/A,0
82,HGCR11,Títulos e Val. Mob.,"R$ 103,94",23474.0,"R$ 1,05","1,00%","3,16%","5,73%","10,63%","1,05%","0,96%","0,89%","1,98%","-0,80%","0,20%","1,18%","R$ 1.255.588.691,53","R$ 101,48","1,02","1,03%","-0,07%","0,96%","1,99%",N/A,N/A,0
83,HGPO11,Lajes Corporativas,"R$ 258,51",1016.0,"R$ 1,35","0,51%","1,59%","3,33%","6,60%","0,53%","0,56%","0,55%","1,03%","2,32%","2,84%","3,38%","R$ 469.957.867,11","R$ 268,08","0,96","0,50%","0,00%","0,51%","1,01%","4,99%","2,80%",2
84,HGFF11,Títulos e Val. Mob.,"R$ 68,85",5093.0,"R$ 0,58","0,82%","2,34%","4,59%","8,24%","0,78%","0,76%","0,69%","1,58%","-6,58%","-5,82%","-5,10%","R$ 253.041.374,27","R$ 88,36","0,78","0,66%","-1,45%","-0,81%","-0,16%",N/A,N/A,0
85,KFOF11,Títulos e Val. Mob.,"R$ 72,78",11941.0,"R$ 0,65","0,87%","2,49%","4,61%","8,70%","0,83%","0,77%","0,73%","1,70%","-2,00%","-1,14%","-0,33%","R$ 423.393.828,07","R$ 93,40","0,78","0,70%","-0,55%","0,14%","0,81%",N/A,N/A,0
86,OUJP11,Títulos e Val. Mob.,"R$ 91,40",6684.0,"R$ 1,25","1,40%","3,63%","6,88%","11,26%","1,21%","1,15%","0,94%","2,60%","-2,25%","-0,89%","0,31%","R$ 328.436.430,12","R$ 100,98","0,91","1,24%","0,00%","1,23%","2,34%",N/A,N/A,0
87,XPCA11,Títulos e Val. Mob.,"R$ 9,73",29709.0,"R$ 0,11","1,13%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,17%","0,41%","1,55%","2,60%","R$ 134.947.595,51","R$ 9,58","1,02","1,15%","0,24%","1,39%","2,45%",N/A,N/A,0
88,BRCO11,Logística,"R$ 95,66",29453.0,"R$ 0,63","0,63%","1,89%","3,76%","6,86%","0,63%","0,63%","0,57%","1,28%","2,86%","3,51%","4,18%","R$ 1.755.760.912,93","R$ 118,80","0,81","0,53%","0,06%","0,59%","1,12%","0,00%","0,00%",10
89,PQAG11,Logística,"R$ 56,51",11.0,"R$ 0,40","0,70%","2,06%","3,82%","7,22%","0,69%","0,64%","0,60%","1,39%","0,83%","1,54%","2,24%","R$ 795.670.006,03","R$ 56,87","0,99","0,70%","0,01%","0,71%","1,40%","0,00%",N/A,1
90,HREC11,Títulos e Val. Mob.,"R$ 97,94",6.0,"R$ 0,90","0,91%","2,87%","5,49%","10,58%","0,96%","0,91%","0,88%","1,85%","2,56%","3,50%","4,47%","R$ 425.213.661,46","R$ 91,31","1,07","0,99%","-0,70%","0,28%","1,26%",N/A,N/A,0
